dataset_label,nct_id,brief_title,lead_sponsor_class,primary_purpose,intervention_types,enrollment,arm_group_count,location_count,country_count,countries,africa_countries,has_africa_site,start_date,primary_completion_date,results_first_post_date,trial_duration_days,results_reporting_lag_days,registration_lead_days,prospectively_registered,has_results_section,has_publication_reference,has_result_reference,pmids,result_pmids,publication_lag_days,speed_score,frugality_score,dissemination_score,overall_efficiency_score
global,NCT02155985,Modulation of Immune Activation by Aspirin,NETWORK,TREATMENT,DRUG,121,3,15,1,United States,,False,2014-08-01,2015-06-01,2016-07-07,304,402,59,True,True,False,False,,,,83.34,35.56,47.67,59.48
global,NCT05615935,"Experiential HIV Testing Increasing Testing Related Knowledge and Practice, and Reduce Stigma Toward HIV of Nurses.",OTHER,OTHER,OTHER,74,2,1,1,Taiwan,,False,2022-11-09,2023-02-01,2024-08-02,84,548,9,True,True,True,False,41455361,,,74.72,47.78,43.36,59.02
global,NCT01489527,Preparedness Study - HPV Vaccine,OTHER,PREVENTION,BIOLOGICAL | OTHER,406,2,2,2,South Africa | United States,South Africa,True,2012-09-01,2014-04-01,2015-01-12,577,286,268,True,True,True,False,28480334|28490581,,,78.89,35.28,45.45,56.94
africa,NCT01489527,Preparedness Study - HPV Vaccine,OTHER,PREVENTION,BIOLOGICAL | OTHER,406,2,2,2,South Africa | United States,South Africa,True,2012-09-01,2014-04-01,2015-01-12,577,286,268,True,True,True,False,28480334|28490581,,,78.89,35.28,45.45,56.94
africa,NCT01141205,HIV-1 Peptide Immunisation of Individuals in West Africa to Prevent Disease,OTHER,TREATMENT,BIOLOGICAL | DRUG,18,2,2,1,Guinea-Bissau,Guinea-Bissau,True,2009-08-01,2012-06-01,2012-10-15,1035,136,-312,False,True,True,True,23634822,23634822,518,66.3,51.39,41.15,56.05
global,NCT04718194,"Developing Online Interventions to Reduce Stigma-Related Stress, Sexual Health, and HIV Risk Among Young Chinese MSM",OTHER,HEALTH_SERVICES_RESEARCH,BEHAVIORAL,120,2,1,1,China,,False,2021-04-19,2022-11-30,2024-01-17,590,413,96,True,True,False,False,,,,70.28,45.97,41.14,55.94
global,NCT00000135,Studies of the Ocular Complications of AIDS (SOCA)--Monoclonal Antibody CMV Retinitis Trial (MACRT),OTHER,TREATMENT,DRUG | OTHER,209,2,0,0,,,False,1995-09-01,1996-08-01,2015-11-17,335,7047,-1483,False,True,True,True,11919489|12232843|12559647|31042791|9400786,11919489|12232843|12559647|9400786,487,52.53,70.83,34.27,55.28
global,NCT04609514,Learn to Quit-HIV Pilot Study,OTHER,TREATMENT,BEHAVIORAL | DEVICE | DRUG,51,2,1,1,United States,,False,2021-01-25,2022-06-02,2023-10-19,493,504,95,True,True,False,False,,,,66.39,50.14,39.2,55.26
global,NCT02814656,"Safety, Tolerability and Pharmacokinetics of Multiple Ascending Doses of AZD8871 in Healthy Subjects",INDUSTRY,TREATMENT,DRUG,24,3,1,1,United Kingdom,,False,2016-06-22,2016-11-28,2019-02-15,159,809,6,True,True,True,False,32907575,,,66.39,49.45,39.2,55.02
global,NCT05037513,Integrated PrEP Interventions for People Who Inject Drugs in Rural Kentucky,OTHER,PREVENTION,BEHAVIORAL,80,2,1,1,United States,,False,2021-09-16,2024-04-09,2025-03-20,936,345,42,True,True,True,True,35706473|39137923|39886694,35706473|39137923|39886694,,64.44,47.22,46.22,54.77
global,NCT03844386,Study to Assess Safety and Ability to Induce Immune Responses of HIV-1 Vaccines M3 and M4 Given Alone or in Combination in HIV-infected Adults,OTHER,TREATMENT,BIOLOGICAL | OTHER,26,4,1,1,United States,,False,2019-04-22,2021-11-11,2022-08-09,934,271,67,True,True,False,False,,,,67.5,46.94,39.75,54.75
global,NCT04048382,Developing a Patient Navigation Intervention for PrEP Continuum of Care Among Young Latino MSM (PrEParate),OTHER,PREVENTION,BEHAVIORAL | OTHER,57,2,1,1,United States,,False,2019-08-05,2021-04-30,2022-07-08,634,434,3,True,True,True,False,15367241|15804316|19116415|19362699|21091279|21681995|22972843|23565928|23736964|24439942|24476355|25168070|25698408|26109462|26316968|26606148|34039570,,,65.56,49.45,38.78,54.57
global,NCT06039579,Proof of Concept Treatment Study of Orally Administered VH4004280 or VH4011499 in HIV-1 Infected Adults,INDUSTRY,TREATMENT,DRUG,44,8,20,9,Argentina | Canada | France | Germany | Italy | Mexico | Spain | United Kingdom | United States,,False,2023-10-25,2024-06-24,2025-09-30,243,463,63,True,True,False,False,,,,76.94,30.55,44.47,54.21
global,NCT02921841,Digital Star: HIV Prevention for Youth in Mental Health Treatment,OTHER,PREVENTION,BEHAVIORAL,125,2,1,1,United States,,False,2016-11-01,2019-03-01,2020-01-27,850,332,33,True,True,True,False,10245370|10920178|10964856|11195891|11253437|11392341|11694669|12940468|14584983|14706401|14967343|15208205|15279915|15488108|15703353|16045417|16120764|1627582|16919811|17028993|17032088|17063130|17138920|17151029|17298930|17531757|17855465|17896176|17911881|17940861|18080065|18301129|18312069|18520618|18687456|1870249|18706118|19050392|19327028|19360464|19966316|19996056|20087189|20113923|20133498|2055777|20635131|20658815|20682937|20820971|20966378|21091279|21318931|21331801|21517664|21765363|21961780|21969802|22201239|22256688|22341158|22669595|3182608|3563507|40206427|7843978|7984169|8190857|8336374|9055511|9069021|9090740|9394948,,,66.94,45.55,39.47,53.96
africa,NCT05140954,The Women TAF-FTC Benchmark Study,OTHER,PREVENTION,DRUG,54,3,1,1,Kenya,Kenya,True,2023-03-28,2023-12-19,2025-10-27,266,678,495,True,True,False,False,,,,66.39,46.39,39.2,53.95
global,NCT02607956,"Study to Evaluate the Safety and Efficacy of Bictegravir/Emtricitabine/Tenofovir Alafenamide Versus Dolutegravir + Emtricitabine/Tenofovir Alafenamide in Human Immunodeficiency Virus (HIV-1) Infected, Antiretroviral Treatment-Naive Adults",INDUSTRY,TREATMENT,DRUG,657,4,125,11,Australia | Belgium | Canada | Dominican Republic | France | Germany | Italy | Puerto Rico | Spain | United Kingdom | United States,,False,2015-11-11,2017-05-12,2018-06-06,548,390,1,True,True,True,True,28867499|29956087|30803969|30932951|31068270|31068272|32504574|33880558|37200995|38349226|39229805,28867499|29956087|30803969|30932951|31068270|31068272|32504574|33880558,176,83.21,14.03,55.6,53.47
global,NCT03453515,Reducing HIV Risk Among Adolescents: Evaluating HEART for Teens,OTHER,PREVENTION,BEHAVIORAL,226,2,1,1,United States,,False,2018-03-01,2018-04-30,2020-09-29,60,883,2,True,True,False,False,,,,66.94,43.47,39.47,53.23
africa,NCT05869864,Schools Championing Safe South Africa,OTHER,PREVENTION,BEHAVIORAL,282,2,1,1,South Africa,South Africa,True,2023-01-31,2023-10-18,2025-06-18,260,609,-100,False,True,False,False,,,,68.62,42.64,34.31,52.66
africa,NCT04330989,An Integrated Strategy to Support Antiretroviral Therapy and Pre-exposure Prophylaxis Adherence for HIV Prevention in Pregnant and Breastfeeding Women,OTHER,PREVENTION,BEHAVIORAL,300,4,1,1,Malawi,Malawi,True,2020-03-01,2022-02-10,2023-01-09,711,333,-29,False,True,True,False,34193491|37757844|40293995,,,71.66,36.8,35.83,52.29
global,NCT04633200,"Mhealth for PrEP Adherence by Young Adult MSM, Phase 2",INDUSTRY,PREVENTION,OTHER,108,2,1,1,United States,,False,2021-02-01,2022-06-30,2023-12-28,514,546,82,True,True,False,False,,,,63.34,46.39,37.67,52.27
global,NCT03446573,Switch Study to Evaluate Dolutegravir Plus Lamivudine in Virologically Suppressed Human Immunodeficiency Virus Type 1 Positive Adults (TANGO),INDUSTRY,TREATMENT,DRUG,743,2,133,10,Australia | Belgium | Canada | France | Germany | Japan | Netherlands | Spain | United Kingdom | United States,,False,2018-01-18,2019-05-20,2020-06-02,487,379,13,True,True,True,False,31905383|33587500|35079789|37376649|37520420|38213637|38515183|38587380|38737429|39015350,,,80.28,18.33,46.14,51.77
global,NCT05393271,"First-Time-in-Human (FTIH) Study to Evaluate the Safety, Tolerability and Pharmacokinetics (PK) of VH4011499 in Healthy Participants",INDUSTRY,TREATMENT,DRUG,73,11,2,1,United States,,False,2022-10-03,2023-04-24,2025-04-01,203,708,133,True,True,True,False,40172795,,,66.94,38.47,39.47,51.48
africa,NCT01025830,Triomune Bioequivalence With Innovators,OTHER,TREATMENT,DRUG,20,2,1,1,Uganda,Uganda,True,2006-02-01,2006-06-01,2009-12-04,120,1282,-1175,False,True,True,True,19096711,19096711,579,56.36,53.33,36.18,51.26
global,NCT04960202,EPIC-HR: Study of Oral PF-07321332/Ritonavir Compared With Placebo in Nonhospitalized High Risk Adults With COVID-19,INDUSTRY,TREATMENT,DRUG,2091,2,201,20,Argentina | Brazil | Bulgaria | Colombia | Czechia | Hungary | India | Japan | Malaysia | Mexico | Poland | Puerto Rico | Russia | South Africa | South Korea | Spain | Thailand | Turkey (Türkiye) | Ukraine | United States,South Africa,True,2021-07-16,2021-12-09,2023-02-09,146,427,6,True,True,True,False,35172054|39523543|40592258|40809391,,,83.34,10.97,47.67,50.88
africa,NCT04960202,EPIC-HR: Study of Oral PF-07321332/Ritonavir Compared With Placebo in Nonhospitalized High Risk Adults With COVID-19,INDUSTRY,TREATMENT,DRUG,2091,2,201,20,Argentina | Brazil | Bulgaria | Colombia | Czechia | Hungary | India | Japan | Malaysia | Mexico | Poland | Puerto Rico | Russia | South Africa | South Korea | Spain | Thailand | Turkey (Türkiye) | Ukraine | United States,South Africa,True,2021-07-16,2021-12-09,2023-02-09,146,427,6,True,True,True,False,35172054|39523543|40592258|40809391,,,83.34,10.97,47.67,50.88
global,NCT01928927,Telmisartan to Reduce AIDS-Related Fibrotic and Inflammatory Contributors (TRAFIC Study),NETWORK,TREATMENT,DRUG,58,2,12,2,Puerto Rico | United States,,False,2014-01-01,2016-03-01,2017-04-12,790,407,132,True,True,False,False,,,,63.89,41.39,37.95,50.83
africa,NCT05007080,A Study to Evaluate Different Dose Levels of Ad26.COV2.S in Healthy Adolescents From 12 to 17 Years Inclusive,INDUSTRY,PREVENTION,BIOLOGICAL,304,6,18,5,Argentina | Brazil | India | Mexico | South Africa,South Africa,True,2021-09-27,2023-08-14,2024-05-23,686,283,49,True,True,True,False,39868766,,,74.16,24.3,43.08,50.49
global,NCT01106586,"Study to Evaluate the Safety and Efficacy of Stribild Versus Ritonavir-Boosted Atazanavir Plus Truvada in Human Immunodeficiency Virus, Type 1 (HIV-1) Infected, Antiretroviral Treatment-Naive Adults",INDUSTRY,TREATMENT,DRUG,708,2,146,17,Australia | Austria | Belgium | Canada | Denmark | France | Germany | Italy | Mexico | Netherlands | Portugal | Puerto Rico | Sweden | Switzerland | Thailand | United Kingdom | United States,,False,2010-04-01,2011-09-01,2012-10-22,518,417,-13,False,True,True,True,22748590|23337366|24346640,22748590|23337366|24346640,303,76.91,17.36,46.45,49.98
global,NCT03921424,Safety and Immunogenicity of V114 in Children Infected With Human Immunodeficiency Virus (HIV) (V114-030/PNEU-WAY PED),INDUSTRY,PREVENTION,BIOLOGICAL,407,2,13,3,South Africa | Thailand | Ukraine,South Africa,True,2019-11-05,2021-05-03,2021-12-09,545,220,202,True,True,True,True,36939067,36939067,789,66.85,29.72,47.42,49.97
africa,NCT03921424,Safety and Immunogenicity of V114 in Children Infected With Human Immunodeficiency Virus (HIV) (V114-030/PNEU-WAY PED),INDUSTRY,PREVENTION,BIOLOGICAL,407,2,13,3,South Africa | Thailand | Ukraine,South Africa,True,2019-11-05,2021-05-03,2021-12-09,545,220,202,True,True,True,True,36939067,36939067,789,66.85,29.72,47.42,49.97
global,NCT05084716,Pre-Exposure Prophylaxis (PrEP) Provision for Ugandan Fisherfolk,OTHER,PREVENTION,BEHAVIORAL,885,3,2,1,Uganda,Uganda,True,2021-09-24,2023-12-01,2024-08-13,798,256,-12,False,True,True,False,39028385,,,71.66,28.61,35.83,49.43
africa,NCT05084716,Pre-Exposure Prophylaxis (PrEP) Provision for Ugandan Fisherfolk,OTHER,PREVENTION,BEHAVIORAL,885,3,2,1,Uganda,Uganda,True,2021-09-24,2023-12-01,2024-08-13,798,256,-12,False,True,True,False,39028385,,,71.66,28.61,35.83,49.43
global,NCT01026454,Valacyclovir vs. Acyclovir as HSV-2 Suppressive Therapy: Effect on Plasma HIV-1 Levels Among HIV-1/HSV-2 Co-infected Persons,OTHER,TREATMENT,DRUG,32,2,1,1,Kenya,Kenya,True,2010-02-01,2010-11-01,2014-03-05,273,1220,61,True,True,True,False,12447756|16327322|16896053|21998479,,,54.72,51.53,33.36,49.33
africa,NCT01026454,Valacyclovir vs. Acyclovir as HSV-2 Suppressive Therapy: Effect on Plasma HIV-1 Levels Among HIV-1/HSV-2 Co-infected Persons,OTHER,TREATMENT,DRUG,32,2,1,1,Kenya,Kenya,True,2010-02-01,2010-11-01,2014-03-05,273,1220,61,True,True,True,False,12447756|16327322|16896053|21998479,,,54.72,51.53,33.36,49.33
global,NCT03751020,"Development and Preliminary Trial of a Brief, Portable Health Intervention for Rural Sexual Minority Emerging Adults",OTHER,PREVENTION,BEHAVIORAL | OTHER,108,3,3,1,United States,,False,2017-10-27,2019-01-01,2020-08-28,431,605,-271,False,True,True,False,32271053,,,63.61,40.0,31.8,48.98
africa,NCT05780424,BRII-196/BRII-198 for Inpatients With COVID-19 (An ACTIV-3/TICO Treatment Trial),NIH,TREATMENT,BIOLOGICAL,353,2,107,8,Denmark | Poland | Singapore | Spain | Switzerland | Uganda | United Kingdom | United States,Uganda,True,2020-12-16,2021-06-08,2024-02-05,174,972,-824,False,True,True,True,34953520,34953520,327,69.2,24.73,42.6,48.32
